"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                        Patent applications to the EPO by priority year, by international patent classification (IPC) sections, classes and metropolitan regions"	"met_pat_epipc"	"dataset"	"19.07.2018"	"19.07.2018"	"1977"	"2012"	252450
"                        High-tech patent applications to the EPO by priority year and metropolitan regions"	"met_pat_eptec"	"dataset"	"19.07.2018"	"19.07.2018"	"1977"	"2012"	21186
"                    Community trade marks (CTM) by metropolitan regions"	"met_ipr_t"	"folder"	" "	" "	" "	" "	
"                        European Union trade mark (EUTM) applications by metropolitan regions"	"met_ipr_ta"	"dataset"	"19.07.2018"	"19.07.2018"	"1996"	"2016"	5408
"                        European Union trade mark (EUTM) applications per billion GDP by metropolitan regions"	"met_ipr_tagdp"	"dataset"	"19.07.2018"	"19.07.2018"	"2000"	"2016"	8370
"                        European Union trade mark (EUTM) applications per million population by metropolitan regions"	"met_ipr_tapop"	"dataset"	"19.07.2018"	"19.07.2018"	"1996"	"2016"	4686
"                    Community design (CD) by metropolitan regions"	"met_ipr_d"	"folder"	" "	" "	" "	" "	
"                        Community design (CD) applications by metropolitan regions"	"met_ipr_da"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	3287
"                        Community design (CD) applications per billion GDP by metropolitan regions"	"met_ipr_dagdp"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	6018
"                        Community design (CD) applications per million population by metropolitan regions"	"met_ipr_dapop"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	3227
"                        Community designs (CD) by metropolitan regions"	"met_ipr_dfa"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	3287
"                        Community designs (CD) per billion GDP by metropolitan regions"	"met_ipr_dfagdp"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	6018
"                        Community designs (CD) per million population by metropolitan regions"	"met_ipr_dfapop"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	3227
"                        Registered Community designs (RCD) by metropolitan regions"	"met_ipr_dr"	"dataset"	"19.07.2018"	"19.07.2018"	"2003"	"2016"	3273
"                Business demography by metropolitan regions"	"met_bd"	"folder"	" "	" "	" "	" "	
"                    Business demography and high growth enterprise by NACE Rev. 2 activity and metropolitan regions"	"met_bd_hgn2"	"dataset"	"10.03.2023"	"10.03.2023"	"2008"	"2020"	563845
"                    Business demography by size class and metropolitan regions"	"met_bd_size"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2020"	217131
"                    Employer business demography by NACE Rev. 2activity and metropolitan regions"	"met_bd_en2"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2020"	476561
"                    Employer business demography by size class and metropolitan regions"	"met_bd_esize"	"dataset"	"10.03.2023"	"10.03.2023"	"2008"	"2019"	128696
"                Transport statistics by metropolitan regions"	"met_tran"	"folder"	" "	" "	" "	" "	
"                    National annual road freight transport by regions of loading, group of goods and metropolitan regions"	"met_road_gonl"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2022"	63917
"                    National annual road freight transport by regions of unloading, group of goods and metropolitan regions"	"met_road_gonu"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2022"	66088
"                Labour market statistics by metropolitan regions"	"met_lmk"	"folder"	" "	" "	" "	" "	
"                    Economically active population by sex, age and metropolitan regions"	"met_lfp3pop"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	78797
"                    Unemployment by sex, age and metropolitan regions"	"met_lfu3pers"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	79336
"                    Unemployment rates by sex, age and metropolitan regions"	"met_lfu3rt"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	79911
"                    Population by sex, age and metropolitan regions"	"met_lfsd3pop"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	32769
"                    Employment by sex, age and metropolitan regions"	"met_lfe3emp"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	31431
"                    Employment rates by sex and age and metropolitan regions"	"met_lfe3emprt"	"dataset"	"20.07.2023"	"20.07.2023"	"1999"	"2022"	31350
"                    Population aged 25-64 by educational attainment level, sex and metropolitan regions"	"met_edat_lfse4"	"dataset"	"20.07.2023"	"20.07.2023"	"2009"	"2022"	34356
"                Metropolitan regions"	"met_"	"folder"	" "	" "	" "	" "	
"                    Crimes recorded by the police by metropolitan regions"	"met_crim_gen"	"dataset"	"07.03.2024"	"07.03.2024"	"2008"	"2021"	18213
"            Other typologies"	"urt"	"folder"	" "	" "	" "	" "	
"                Demography statistics by other typologies"	"urt_demo"	"folder"	" "	" "	" "	" "	
"                    Area of the regions by other typologies"	"urt_d3area"	"dataset"	"09.02.2024"	"09.02.2024"	"1990"	"2023"	21025
"                    Population density by other typologies"	"urt_d3dens"	"dataset"	"14.03.2024"	"29.02.2024"	"2018"	"2023"	2729
"                    Population on 1 January by five year age group, sex and other typologies"	"urt_pjangrp3"	"dataset"	"28.02.2024"	"09.02.2024"	"2014"	"2023"	314376
"                    Population on 1 January by broad age group, sex and other typologies"	"urt_pjanaggr3"	"dataset"	"13.03.2024"	"09.02.2024"	"1990"	"2023"	150752
"                    Demographic balance and crude rates by other typologies"	"urt_gind3"	"dataset"	"07.03.2024"	"21.12.2023"	"2000"	"2022"	89819
"                    Live births (total) by other typologies"	"urt_births"	"dataset"	"04.04.2024"	"28.02.2024"	"1990"	"2022"	11940
"                    Deaths (total) by other typologies"	"urt_deaths"	"dataset"	"15.03.2024"	"15.03.2024"	"1990"	"2022"	11849
"                Population projections by other typologies"	"urt_proj"	"folder"	" "	" "	" "	" "	
"                    Population on 1st January by age, sex, type of projection and other typologies"	"urt_proj_19rp"	"dataset"	"20.12.2022"	"20.12.2022"	"2019"	"2100"	86346
"                    Assumptions for net migration by age, sex, type of projection and other typologies"	"urt_proj_19ranmig"	"dataset"	"20.12.2022"	"20.12.2022"	"2019"	"2100"	86346
"                    Projected deaths by age, sex, type of projection and other typologies"	"urt_proj_19rdth"	"dataset"	"20.12.2022"	"20.12.2022"	"2019"	"2100"	86346
"                    Demographic balances and indicators by type of projection and other typologies"	"urt_proj_19rdbi"	"dataset"	"20.12.2022"	"20.12.2022"	"2019"	"2100"	172692
"                Economic accounts by other typologies (ESA 2010)"	"urt_eco10"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) at current market prices by other typologies"	"urt_10r_3gdp"	"dataset"	"28.02.2024"	"28.02.2024"	"2000"	"2022"	73823
"                    Average annual population to calculate regional GDP data by other typologies"	"urt_10r_3pgdp"	"dataset"	"28.02.2024"	"28.02.2024"	"2000"	"2022"	10675
"                    Employment by NACE Rev. 2 activity and other typologies"	"urt_10r_3emp"	"dataset"	"14.03.2024"	"28.02.2024"	"1995"	"2022"	277888
"                    Gross value added at basic prices by other typologies"	"urt_10r_3gva"	"dataset"	"28.02.2024"	"28.02.2024"	"1995"	"2022"	303854
"                Intellectual property rights by other typologies"	"urt_ipr"	"folder"	" "	" "	" "	" "	
"                    Patent statistics by other typologies"	"urt_pat"	"folder"	" "	" "	" "	" "	
"                        Patent applications to the EPO by priority year and other typologies"	"urt_pat_eptot"	"dataset"	"19.07.2018"	"03.01.2024"	"1977"	"2012"	10516
"                        Patent applications to the EPO by priority year, international patent classification (IPC) sections, classes and other typologies"	"urt_pat_epipc"	"dataset"	"19.07.2018"	"03.01.2024"	"1977"	"2012"	790411
"                        High-tech patent applications to the EPO by priority year and other typologies"	"urt_pat_eptec"	"dataset"	"19.07.2018"	"03.01.2024"	"1977"	"2012"	48985
"                    Community trade marks (CTM) by other typologies"	"urt_ipr_t"	"folder"	" "	" "	" "	" "	
"                        European Union trade mark (EUTM) applications by other typologies"	"urt_ipr_ta"	"dataset"	"19.07.2018"	"03.01.2024"	"1996"	"2016"	3930
"                        European Union trade mark (EUTM) applications per billion GDP by other typologies"	"urt_ipr_tagdp"	"dataset"	"19.07.2018"	"03.01.2024"	"2000"	"2016"	5548
"                        European Union trade mark (EUTM) applications per million population by other typologies"	"urt_ipr_tapop"	"dataset"	"19.07.2018"	"03.01.2024"	"1996"	"2016"	3681
"                    Community design (CD) by other typologies"	"urt_ipr_d"	"folder"	" "	" "	" "	" "	
"                        Community design (CD) applications by other typologies"	"urt_ipr_da"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	2034
"                        Community design (CD) applications per billion GDP by other typologies"	"urt_ipr_dagdp"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	3394
"                        Community design (CD) applications per million population by other typologies"	"urt_ipr_dapop"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	2010
"                        Community designs (CD) by other typologies"	"urt_ipr_dfa"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	2034
"                        Community designs (CD) per billion GDP by other typologies"	"urt_ipr_dfagdp"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	3394
"                        Community designs (CD) per million population by other typologies"	"urt_ipr_dfapop"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	2010
"                        Registered Community designs (RCD) by other typologies"	"urt_ipr_dr"	"dataset"	"19.07.2018"	"03.01.2024"	"2003"	"2016"	2037
"                Business demography by other typologies"	"urt_bd"	"folder"	" "	" "	" "	" "	
"                    Business demography and high growth enterprise by NACE Rev. 2 activity and other typologies"	"urt_bd_hgn2"	"dataset"	"12.12.2022"	"12.12.2022"	"2008"	"2020"	619352
"                    Business demography by size class and other typologies"	"urt_bd_size"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2020"	228696
"                    Employer business demography by NACE Rev. 2 activity and other typologies"	"urt_bd_en2"	"dataset"	"18.08.2023"	"18.08.2023"	"2008"	"2020"	528567
"                    Employer business demography by size class and other typologies"	"urt_bd_esize"	"dataset"	"12.12.2022"	"12.12.2022"	"2008"	"2019"	146236
"                Transport statistics by other typologies"	"urt_tran"	"folder"	" "	" "	" "	" "	
"                    National annual road freight transport by regions of loading, group of goods and other typologies"	"urt_road_gonl"	"dataset"	"18.08.2023"	"03.01.2024"	"2008"	"2022"	42518
"                    National annual road freight transport by regions of unloading, group of goods and other typologies"	"urt_road_gonu"	"dataset"	"18.08.2023"	"03.01.2024"	"2008"	"2022"	45208
"                Labour market statistics by other typologies"	"urt_lmk"	"folder"	" "	" "	" "	" "	
"                    Economically active population by sex, age and other typologies"	"urt_lfp3pop"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	81653
"                    Unemployment by sex, age and other typologies"	"urt_lfu3pers"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	79948
"                    Unemployment rates by sex, age and other typologies"	"urt_lfu3rt"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	96191
"                    Population by sex, age and other typologies"	"urt_lfsd3pop"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	31840
"                    Employment by sex, age and other typologies"	"urt_lfe3emp"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	31374
"                    Employment rates by sex, age and other typologies"	"urt_lfe3emprt"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	38102
"                    Population aged 25-64 by educational attainment level, sex and other typologies"	"urt_edat_lfse4"	"dataset"	"20.07.2023"	"03.01.2024"	"2009"	"2022"	46368
"                Other typologies"	"urt_"	"folder"	" "	" "	" "	" "	
"                    Crimes recorded by the police by other typologies"	"urt_crim_gen"	"dataset"	"07.03.2024"	"07.03.2024"	"2008"	"2021"	25445
"            Coastal, island and outermost regions"	"coast"	"folder"	" "	" "	" "	" "	
"                Tourism statistics by coastal areas (LAU2)"	"mare"	"folder"	" "	" "	" "	" "	
"                    Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area"	"tour_occ_ninatdc"	"dataset"	"12.01.2024"	"21.12.2023"	"2012"	"2022"	60374
"                    Establishments, bedrooms and bed-places in tourist accommodation, by degree of urbanisation and coastal/non-coastal area"	"tour_cap_natdc"	"dataset"	"12.01.2024"	"03.01.2024"	"2012"	"2023"	43741
"                Demographic statistics by island regions"	"demoisl"	"folder"	" "	" "	" "	" "	
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"26.03.2024"	"26.03.2024"	"2000"	"2023"	451465
"                    Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"08.03.2024"	"12.02.2024"	"2014"	"2023"	885993
"                    Fertility indicators by NUTS 3 region"	"demo_r_find3"	"dataset"	"22.03.2024"	"22.02.2024"	"2013"	"2022"	53305
"                Economic accounts by island regions"	"esaisl"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) at current market prices by NUTS 3 regions"	"nama_10r_3gdp"	"dataset"	"20.02.2024"	"19.02.2024"	"2000"	"2022"	268494
"                    Gross value added at basic prices by NUTS 3 regions"	"nama_10r_3gva"	"dataset"	"20.02.2024"	"19.02.2024"	"1995"	"2022"	987539
"                    Employment (thousand persons) by NUTS 3 regions"	"nama_10r_3empers"	"dataset"	"13.03.2024"	"19.02.2024"	"1995"	"2022"	916057
"                Transport statistics by island regions"	"tranisl"	"folder"	" "	" "	" "	" "	
"                    National road freight transport by region of loading (NUTS 3) and type of goods (t) - annual data (from 2008 onwards)"	"road_go_na_rl3g"	"dataset"	"24.07.2023"	"24.07.2023"	"2008"	"2022"	362949
"                    National road freight transport by region of unloading (NUTS 3) and type of goods (t) - annual data (from 2008 onwards)"	"road_go_na_ru3g"	"dataset"	"24.07.2023"	"24.07.2023"	"2008"	"2022"	372107
"                Regional statistics by coastal typology"	"coasttyp"	"folder"	" "	" "	" "	" "	
"                    Demographic balance and crude rates by other typologies"	"urt_gind3"	"dataset"	"07.03.2024"	"21.12.2023"	"2000"	"2022"	89819
"                    Gross domestic product (GDP) at current market prices by other typologies"	"urt_10r_3gdp"	"dataset"	"28.02.2024"	"28.02.2024"	"2000"	"2022"	73823
"                    Gross value added at basic prices by other typologies"	"urt_10r_3gva"	"dataset"	"28.02.2024"	"28.02.2024"	"1995"	"2022"	303854
"                    Employment rates by sex, age and other typologies"	"urt_lfe3emprt"	"dataset"	"20.07.2023"	"03.01.2024"	"1999"	"2022"	38102
"        Degree of urbanisation"	"degurb"	"folder"	" "	" "	" "	" "	
"            Health"	"degurb_hlth"	"folder"	" "	" "	" "	" "	
"                Self-perceived health by sex, age and degree of urbanisation"	"hlth_silc_18"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	940632
"                People having a long-standing illness or health problem, by sex, age and degree of urbanisation"	"hlth_silc_19"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	131160
"                Level of disability (activity limitation) by sex, age and degree of urbanisation"	"hlth_silc_20"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	542880
"                Self-reported unmet needs for medical examination by sex, age, main reason declared and degree of urbanisation"	"hlth_silc_21"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	1337760
"                Self-reported unmet needs for dental examination by sex, age, main reason declared and degree of urbanisation"	"hlth_silc_22"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	1337400
"                Self-reported use of home care services by sex, age and degree of urbanisation"	"hlth_ehis_am7u"	"dataset"	"16.11.2021"	"03.01.2024"	"2014"	"2019"	9384
"            Lifelong learning"	"degurb_trng"	"folder"	" "	" "	" "	" "	
"                Participation rate in education and training by degree of urbanisation"	"trng_aes_105"	"dataset"	"08.01.2024"	"03.01.2024"	"2007"	"2022"	3101
"                Participation rate in education and training (last 4 weeks) by sex, age and degree of urbanisation"	"trng_lfs_14"	"dataset"	"14.09.2023"	"14.09.2023"	"2004"	"2022"	84508
"                Participation rate in informal learning by learning form and degree of urbanisation"	"trng_aes_205"	"dataset"	"08.01.2024"	"13.11.2023"	"2007"	"2022"	5371
"                Participation in any learning activities by degree of urbanisation"	"trng_any3"	"dataset"	"27.03.2009"	"03.01.2024"	"2003"	"2003"	390
"                Participation in formal education by degree of urbanisation"	"trng_fed3"	"dataset"	"27.03.2009"	"03.01.2024"	"2003"	"2003"	404
"                Participation in informal learning by degree of urbanisation"	"trng_inf3"	"dataset"	"27.03.2009"	"03.01.2024"	"2003"	"2003"	437
"                Participation in non-formal education and training by degree of urbanisation"	"trng_nfe4"	"dataset"	"27.03.2009"	"03.01.2024"	"2003"	"2003"	419
"            Educational attainment level and outcomes of education"	"degurb_edat"	"folder"	" "	" "	" "	" "	
"                Number of foreign languages known (self-reported) by degree of urbanisation"	"edat_aes_l26"	"dataset"	"02.04.2024"	"03.01.2024"	"2007"	"2022"	3975
"                Level of the best-known foreign language (self-reported) by degree of urbanisation"	"edat_aes_l36"	"dataset"	"02.04.2024"	"03.01.2024"	"2007"	"2022"	3531
"                Population by educational attainment level, sex, age and degree of urbanisation (%)"	"edat_lfs_9913"	"dataset"	"14.09.2023"	"14.09.2023"	"2004"	"2022"	540928
"                Population by educational attainment level, sex, age, country of birth and degree of urbanisation (%)"	"edat_lfs_9915"	"dataset"	"14.09.2023"	"14.09.2023"	"2004"	"2022"	332748
"                Population by educational attainment level, sex, age, citizenship and degree of urbanisation (%)"	"edat_lfs_9916"	"dataset"	"26.04.2023"	"26.04.2023"	"2004"	"2022"	354192
"                Young people neither in employment nor in education and training by sex, age and degree of urbanisation (NEET rates)"	"edat_lfse_29"	"dataset"	"14.09.2023"	"14.09.2023"	"2000"	"2022"	96904
"                Young people neither in employment nor in education and training by sex, age, country of birth and degree of urbanisation (NEET rates)"	"edat_lfse_35"	"dataset"	"14.09.2023"	"14.09.2023"	"2004"	"2022"	150805
"                Young people neither in employment nor in education and training by sex, age, citizenship and degree of urbanisation (NEET rates)"	"edat_lfse_36"	"dataset"	"14.09.2023"	"14.09.2023"	"2004"	"2022"	154604
"                Early leavers from education and training by sex and degree of urbanisation"	"edat_lfse_30"	"dataset"	"14.09.2023"	"14.09.2023"	"2000"	"2022"	23438
"                Employment rates of young people not in education and training by sex, educational attainment level, years since completion of highest level of education and degree of urbanisation"	"edat_lfse_34"	"dataset"	"14.09.2023"	"14.09.2023"	"2000"	"2022"	1069554
"            Living conditions and welfare"	"degurb_livcon"	"folder"	" "	" "	" "	" "	
"                EU-SILC ad-hoc modules"	"du_ilc_ahm"	"folder"	" "	" "	" "	" "	
"                    2017 - Health including children health"	"du_ilc_hch"	"folder"	" "	" "	" "	" "	
"                        Persons with financial burden of health care by  level of difficulty, type of health care, degree of urbanization and income quantile"	"ilc_hch02"	"dataset"	"21.12.2023"	"21.12.2023"	"2017"	"2022"	14040
"                        Persons visiting a doctor in the last 12 months by medical speciality, frequency, most frequent activity status, degree of urbanization and income quantile"	"ilc_hch04"	"dataset"	"20.02.2024"	"21.12.2023"	"2017"	"2022"	117000
"                        Persons performing physical activity when working by type of activity, most frequent activity status, income quantile and degree of urbanization"	"ilc_hch06"	"dataset"	"23.01.2024"	"21.12.2023"	"2017"	"2022"	31200
"                        Persons performing physical activity outside working time by duration in a typical week, most frequent activity status, income quantile and degree of urbanization"	"ilc_hch08"	"dataset"	"21.12.2023"	"21.12.2023"	"2017"	"2017"	20400
"                        Children with unmet needs for medical examination or treatment by income group, household composition and degree of urbanization"	"ilc_hch14"	"dataset"	"21.11.2023"	"03.01.2024"	"2017"	"2021"	4464
"                    2016 - Access to services"	"du_ilc_ats"	"folder"	" "	" "	" "	" "	
"                        Children receiving formal childcare services by age, income group and degree of urbanisation"	"ilc_ats01"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	5184
"                        Children receiving formal childcare services by household type, income group, degree of urbanisation and level of difficulty to afford formal childcare services"	"ilc_ats03"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	18144
"                        Children by household type, income group, degree of urbanisation and main reason for not meeting needs for formal childcare services"	"ilc_ats04"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	21168
"                        Persons paying for formal education by household type, income group, degree of urbanisation and level of difficulty to pay"	"ilc_ats07"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	43344
"                        Persons by sex, age, household type, income group, degree of urbanisation and main reason for not meeting needs for formal education"	"ilc_ats08"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	772416
"                        Persons using professional homecare services by household type, income group and degree of urbanisation"	"ilc_ats13"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	14688
"                        Persons using professional homecare services by household type, income group, degree of urbanisation and frequency"	"ilc_ats14"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	22032
"                        Persons using or not professional homecare services by household type, income group, degree of urbanisation and reason for not using professional homecare services"	"ilc_ats15"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	42840
"                        Persons providing or not informal homecare services by sex, age, degree of urbanisation, most frequent activity status and adressee of care"	"ilc_ats17"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	110592
"                        Persons providing informal care or assistance by sex, age, degree of urbanisation, most frequent activity status and frequency"	"ilc_ats18"	"dataset"	"21.11.2023"	"03.01.2024"	"2016"	"2016"	82944
"                    2015 - Social and cultural participation"	"du_ilc_scp"	"folder"	" "	" "	" "	" "	
"                        Participation in any cultural or sport activities in the last 12 months by income quintile, household type and degree of urbanisation"	"ilc_scp02"	"dataset"	"21.11.2023"	"03.01.2024"	"2006"	"2015"	21168
"                        Frequency of participation in cultural or sport activities in the last 12 months by income quintile, household type, degree of urbanisation and activity type"	"ilc_scp04"	"dataset"	"21.11.2023"	"03.01.2024"	"2006"	"2015"	214032
"                        Reasons of non-participation in cultural or sport activities in the last 12 months by income quintile, household type, degree of urbanisation and activity type"	"ilc_scp06"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	94080
"                        Frequency of practicing of artistic activities by income quintile, household type and degree of urbanisation"	"ilc_scp08"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	34272
"                        Frequency of getting together with family and relatives or friends by income quintile, household type and degree of urbanisation"	"ilc_scp10"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	118944
"                        Frequency of contacts with family and relatives or friends by income quintile, household type and degree of urbanisation"	"ilc_scp12"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	70560
"                        Frequency of communication via social media by income quintile, household type and degree of urbanisation"	"ilc_scp14"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	35280
"                        Persons who have someone to ask for help by income quintile, household type and degree of urbanisation"	"ilc_scp16"	"dataset"	"21.11.2023"	"03.01.2024"	"2013"	"2015"	11760
"                        Persons who have someone to discuss personal matters by income quintile, household type and degree of urbanisation"	"ilc_scp18"	"dataset"	"21.11.2023"	"03.01.2024"	"2013"	"2015"	11760
"                        Participation in formal or informal voluntary activities, or active citizenship by income quintile, household type and degree of urbanisation"	"ilc_scp20"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	17640
"                        Reasons of non-participation in formal or informal voluntary activities, active citizenship in the last 12 months by income quintile, household type and degree of urbanisation"	"ilc_scp22"	"dataset"	"21.11.2023"	"03.01.2024"	"2015"	"2015"	87696
"                    2013 - Personal well-being indicators"	"du_ilc_pwb"	"folder"	" "	" "	" "	" "	
"                        Average rating of satisfaction by domain, income quintile, household type and degree of urbanisation"	"ilc_pw02"	"dataset"	"15.03.2024"	"02.02.2024"	"2013"	"2023"	95760
"                        Average rating of trust by domain, income quintile, household type and degree of urbanisation"	"ilc_pw04"	"dataset"	"27.06.2023"	"03.01.2024"	"2013"	"2015"	21168
"                        Persons having someone to rely on in case of need by income quintile, degree of urbanisation and household type"	"ilc_pw07"	"dataset"	"23.02.2024"	"23.02.2024"	"2013"	"2013"	5040
"                        Frequency of being happy in the last 4 weeks by income quintile, degree of urbanisation and household type"	"ilc_pw09"	"dataset"	"27.06.2023"	"03.01.2024"	"2013"	"2018"	61632
"                    2012 - Housing conditions"	"du_ilc_hcm"	"folder"	" "	" "	" "	" "	
"                        Average size of dwelling by household type and degree of urbanisation"	"ilc_hcmh02"	"dataset"	"20.06.2019"	"03.01.2024"	"2012"	"2012"	760
"                        Share of population living in a dwelling not comfortably cool during summer time by income quintile and degree of urbanisation"	"ilc_hcmp03"	"dataset"	"27.06.2023"	"03.01.2024"	"2012"	"2014"	936
"                        Share of population having moved to other dwelling within the last five year period by tenure status and degree of urbanisation"	"ilc_hcmp05"	"dataset"	"27.06.2023"	"03.01.2024"	"2012"	"2014"	780
"                        Distribution of population by level of difficulty in accessing public transport, income quintile and degree of urbanisation"	"ilc_hcmp06"	"dataset"	"27.06.2023"	"03.01.2024"	"2012"	"2014"	3744
"                Structure of consumption expenditure by degree of urbanisation and COICOP consumption purpose"	"hbs_str_t226"	"dataset"	"20.10.2023"	"03.01.2024"	"1988"	"2020"	27914
"                Household characteristics by degree of urbanisation"	"hbs_car_t315"	"dataset"	"20.10.2023"	"21.12.2023"	"1988"	"2020"	2670
"                Persons at risk of poverty or social exclusion by degree of urbanisation - EU 2020 strategy"	"ilc_peps13"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	4158
"                Persons at risk of poverty or social exclusion by degree of urbanisation"	"ilc_peps13n"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	1809
"                    Persons at risk of poverty or social exclusion by degree of urbanisation"	"sdg_01_10a"	"table"	"22.03.2024"	"22.03.2024"	"2014"	"2023"	896
"                At-risk-of-poverty rate by degree of urbanisation"	"ilc_li43"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	4164
"                At-risk-of-poverty rate after deducting housing costs by degree of urbanisation"	"ilc_li48"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2749
"                Mean and median income by degree of urbanisation"	"ilc_di17"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	253440
"                Share of people having income greater or equal to specific national thresholds by degree of urbanisation"	"ilc_di23"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	19313
"                Distribution of population aged 18 and over by health status, age group, sex and degree of urbanisation - EU-SILC survey"	"ilc_lvhl01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	124740
"                Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 59 years) - EU 2020 strategy"	"ilc_lvhl23"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	5994
"                Distribution of population by degree of urbanisation, dwelling type and income group - EU-SILC survey"	"ilc_lvho01"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	66624
"                Average number of rooms per person by degree of urbanization"	"ilc_lvho04d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2776
"                Overcrowding rate by degree of urbanisation - total population - EU-SILC survey"	"ilc_lvho05d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2080
"                Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey"	"ilc_lvho50d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2077
"                Housing cost overburden rate by degree of urbanisation - EU-SILC survey"	"ilc_lvho07d"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2038
"                Distribution of population by housing cost burden and degree of urbanisation"	"ilc_lvho29"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	10195
"                Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey"	"ilc_lvho08b"	"dataset"	"22.03.2024"	"02.02.2024"	"2003"	"2023"	2053
"                Material and social deprivation rate by degree of urbanisation"	"ilc_mdsd09"	"dataset"	"22.03.2024"	"02.02.2024"	"2014"	"2023"	1440
